clean_idx,noisy_idx,weight,cost,clean_type,noisy_type,clean_scalar,noisy_scalar
0,1,0.015384615384615384,0.032517999999999936,min,min,-0.848778,-0.881296
2,56,0.015384615384615384,0.057263000000000064,min,min,-0.785426,-0.842689
4,4,0.015384615384615384,0.02592500000000003,sad,sad,-0.283251,-0.309176
5,64,0.015384615384615384,0.005880999999999997,sad,sad,-0.223413,-0.229294
6,30,0.015384615384615384,0.057159000000000015,sad,min,-0.317534,-0.374693
8,16,0.015384615384615384,0.00716,max,max,0.287211,0.280051
9,27,0.015384615384615384,0.01161100000000001,sad,sad,-0.204306,-0.215917
10,47,0.015384615384615384,0.050442000000000015,max,max,0.255263,0.204821
11,15,0.015384615384615384,0.006666000000000005,sad,sad,-0.184776,-0.17811
12,53,0.015384615384615384,0.008192000000000033,max,max,0.337176,0.345368
14,63,0.015384615384615384,0.016005999999999992,sad,sad,-0.1543,-0.138294
17,43,0.015384615384615384,0.028078999999999965,min,min,-0.667002,-0.695081
18,24,0.015384615384615384,0.0267089,sad,sad,-0.0712759,-0.044567
20,26,0.015384615384615384,0.048348999999999975,min,min,-0.77434,-0.822689
23,31,0.015384615384615384,0.026278000000000024,max,max,0.378243,0.404521
24,33,0.015384615384615384,0.10030899999999998,max,max,0.538948,0.639257
27,29,0.015384615384615384,0.0072359000000000034,sad,sad,-0.102943,-0.0957071
28,60,0.015384615384615384,0.008141000000000065,min,sad,-0.619051,-0.61091
29,51,0.015384615384615384,0.00604940000000001,sad,sad,-0.0923395,-0.0862901
31,40,0.015384615384615384,0.0004129999999999967,min,min,-0.649565,-0.649978
33,7,0.015384615384615384,0.0015450000000000186,min,min,-0.780894,-0.782439
35,42,0.015384615384615384,0.005309000000000008,sad,sad,-0.22279,-0.228099
36,28,0.015384615384615384,0.0046539999999999915,sad,sad,-0.284911,-0.289565
37,12,0.015384615384615384,0.061558999999999975,max,max,0.28986,0.351419
38,22,0.015384615384615384,0.0012309999999999821,sad,sad,-0.136338,-0.135107
39,2,0.015384615384615384,0.005806000000000033,sad,sad,-0.256927,-0.251121
42,21,0.015384615384615384,0.00024000000000001798,min,min,-0.757602,-0.757362
43,62,0.015384615384615384,0.011560000000000015,min,min,-0.770811,-0.759251
44,61,0.015384615384615384,0.09608100000000008,min,min,-0.909659,-1.00574
45,46,0.015384615384615384,0.033555,min,min,-0.831024,-0.864579
46,32,0.015384615384615384,0.023399999999999976,sad,min,-0.275822,-0.299222
48,55,0.015384615384615384,0.015436000000000005,sad,sad,-0.258832,-0.274268
34,58,0.015070643642072211,0.0018019999999999703,min,min,-0.792021,-0.793823
16,38,0.014128728414442716,0.027476999999999974,min,min,-0.751138,-0.723661
30,52,0.013814756671899521,0.0016760000000000108,sad,sad,-0.200375,-0.198699
13,9,0.012872841444270026,0.08817199999999997,sad,sad,-0.299586,-0.387758
26,50,0.012872841444270004,0.002485000000000015,sad,sad,-0.245415,-0.2479
7,10,0.012558869701726831,0.24886399999999997,sad,min,-0.318979,-0.567843
32,45,0.012244897959183682,3.899999999998349e-05,sad,sad,-0.208743,-0.208782
19,25,0.011616954474097314,0.042942000000000036,min,min,-0.647849,-0.690791
40,13,0.010989010989010992,0.008560999999999985,max,max,0.283533,0.274972
1,5,0.010989010989010969,0.09877800000000003,min,min,-0.789995,-0.888773
15,34,0.010361067503924647,0.037516999999999995,sad,sad,-0.163746,-0.126229
21,57,0.010361067503924647,0.0020759999999999668,sad,sad,-0.271851,-0.273927
22,36,0.010361067503924647,0.023344500000000004,sad,sad,-0.0949415,-0.071597
25,49,0.010361067503924647,0.008118999999999987,max,max,0.34307,0.351189
41,54,0.010361067503924647,0.05201500000000003,max,max,0.36032,0.412335
47,20,0.010361067503924647,0.033193,sad,sad,-0.202512,-0.169319
3,8,0.010361067503924624,0.12550899999999998,min,min,-0.891911,-1.01742
3,0,0.010047095761381497,0.05294500000000002,min,min,-0.891911,-0.944856
15,3,0.010047095761381474,0.006846999999999992,sad,sad,-0.163746,-0.156899
21,19,0.010047095761381474,0.039227999999999985,sad,sad,-0.271851,-0.311079
22,48,0.010047095761381474,0.17765330000000001,sad,sad,-0.0949415,0.0827118
25,17,0.010047095761381474,0.011182999999999998,max,max,0.34307,0.354253
41,35,0.010047095761381474,0.091897,max,max,0.36032,0.452217
1,59,0.009419152276295152,0.050258000000000025,min,min,-0.789995,-0.840253
40,14,0.00941915227629513,0.14070899999999997,max,sad,0.283533,0.142824
19,6,0.008791208791208807,0.017464999999999953,min,sad,-0.647849,-0.665314
32,18,0.00816326530612244,0.00742799999999999,sad,sad,-0.208743,-0.216171
7,11,0.00784929356357929,0.0023699999999999832,sad,sad,-0.318979,-0.321349
26,37,0.007535321821036117,0.0012240000000000029,sad,sad,-0.245415,-0.244191
13,11,0.007535321821036094,0.021762999999999977,sad,sad,-0.299586,-0.321349
30,41,0.0065934065934065995,0.086569,sad,sad,-0.200375,-0.113806
16,23,0.0062794348508634044,0.0004830000000000112,min,min,-0.751138,-0.751621
34,44,0.0053375196232339096,0.06384900000000004,min,min,-0.792021,-0.85587
47,3,0.0053375196232339096,0.04561299999999999,sad,sad,-0.202512,-0.156899
0,0,0.005023547880690737,0.096078,min,min,-0.848778,-0.944856
4,19,0.005023547880690737,0.02782800000000002,sad,sad,-0.283251,-0.311079
5,37,0.005023547880690737,0.02077799999999999,sad,sad,-0.223413,-0.244191
6,39,0.005023547880690737,0.28917899999999996,sad,sad,-0.317534,-0.606713
9,18,0.005023547880690737,0.011865000000000014,sad,sad,-0.204306,-0.216171
10,14,0.005023547880690737,0.11243900000000001,max,sad,0.255263,0.142824
11,20,0.005023547880690737,0.015456999999999999,sad,sad,-0.184776,-0.169319
12,49,0.005023547880690737,0.014012999999999998,max,max,0.337176,0.351189
14,41,0.005023547880690737,0.04049399999999999,sad,sad,-0.1543,-0.113806
20,59,0.005023547880690737,0.065913,min,min,-0.77434,-0.840253
23,54,0.005023547880690737,0.03409200000000001,max,max,0.378243,0.412335
24,35,0.005023547880690737,0.086731,max,max,0.538948,0.452217
29,36,0.005023547880690737,0.02074250000000001,sad,sad,-0.0923395,-0.071597
31,6,0.005023547880690737,0.015749000000000013,min,sad,-0.649565,-0.665314
33,44,0.005023547880690737,0.07497600000000004,min,min,-0.780894,-0.85587
37,17,0.005023547880690737,0.06439299999999998,max,max,0.28986,0.354253
38,34,0.005023547880690737,0.010108999999999979,sad,sad,-0.136338,-0.126229
42,23,0.005023547880690737,0.005981000000000014,min,min,-0.757602,-0.751621
44,8,0.005023547880690737,0.107761,min,min,-0.909659,-1.01742
45,44,0.005023547880690737,0.024846000000000035,min,min,-0.831024,-0.85587
48,57,0.005023547880690737,0.01509499999999997,sad,sad,-0.258832,-0.273927
46,39,0.004709576138147565,0.33089099999999994,sad,sad,-0.275822,-0.606713
2,5,0.004395604395604415,0.10334700000000008,min,min,-0.785426,-0.888773
8,13,0.004395604395604392,0.012239,max,max,0.287211,0.274972
43,23,0.004081632653061242,0.01919000000000004,min,min,-0.770811,-0.751621
18,48,0.00408163265306122,0.1539877,sad,sad,-0.0712759,0.0827118
17,25,0.0037676609105180697,0.02378900000000006,min,min,-0.667002,-0.690791
27,41,0.003767660910518047,0.010862999999999998,sad,sad,-0.102943,-0.113806
28,39,0.0034536891679748973,0.012338000000000071,min,sad,-0.619051,-0.606713
47,45,0.0031397174254317022,0.006269999999999998,sad,sad,-0.202512,-0.208782
36,10,0.0028257456828885523,0.28293199999999996,sad,min,-0.284911,-0.567843
35,37,0.0028257456828885297,0.021401000000000003,sad,sad,-0.22279,-0.244191
39,50,0.00251177394034538,0.009027000000000007,sad,sad,-0.256927,-0.2479
39,9,0.0025117739403453573,0.13083099999999998,sad,sad,-0.256927,-0.387758
35,18,0.0021978021978022073,0.006618999999999986,sad,sad,-0.22279,-0.216171
36,39,0.002197802197802185,0.3218019999999999,sad,sad,-0.284911,-0.606713
47,52,0.0015698587127158624,0.003813000000000011,sad,sad,-0.202512,-0.198699
28,6,0.0015698587127158398,0.04626299999999994,min,sad,-0.619051,-0.665314
27,48,0.00125588697017269,0.1856548,sad,sad,-0.102943,0.0827118
17,38,0.0012558869701726674,0.056659000000000015,min,min,-0.667002,-0.723661
18,14,0.0009419152276295174,0.2140999,sad,sad,-0.0712759,0.142824
43,59,0.0009419152276294949,0.069442,min,min,-0.770811,-0.840253
2,58,0.0003139717425431725,0.008396999999999988,min,min,-0.785426,-0.793823
8,17,0.0003139717425431725,0.06704199999999999,max,max,0.287211,0.354253
8,35,0.0003139717425431725,0.16500599999999999,max,max,0.287211,0.452217
46,19,0.0003139717425431725,0.03525699999999998,sad,sad,-0.275822,-0.311079
2,0,0.0003139717425431499,0.15943000000000007,min,min,-0.785426,-0.944856
